"rowlabel","split","sex","yrsarea","resyrago","work2","tenure1","livharm1","agegrp7","ethgrp2a","educat3","rural2","edeprivex","wdeprivex","IndivWgtx","cause2m","walkdark","walkday","homealon","wburgl","wmugged","wcarstol","wfromcar","wraped","wattack","wraceatt","worryx","bcsvictim","rubbcomm","vandcomm","poorhou","antisocx"
136115200,"D (Online Security)","Male","20 years or longer",NA,"No","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","Apprenticeship or A/AS level","Urban",4,NA,1.02194440364838,"J. The economy in general","Fairly safe","Fairly safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136655050,"A (Experiences of the police)","Female","5 years but less than 10 years",NA,"Yes","Buying it with the help of a mortgage or loan","Cohabiting","35-44","White","Apprenticeship or A/AS level","Urban",5,NA,0.664677739143372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",0.264901876449585
147590290,"A (Experiences of the police)","Male","5 years but less than 10 years",NA,"Yes","Live here rent free (inc. rent free in relative/friend's property, excluding squatting)","Divorced","45-54","White","O level/GCSE","Rural",4,NA,0.69778847694397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.916930258274078
136467070,"C (Crime prevention and security)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Separate","45-54","White","Degree or diploma","Urban",5,NA,0.235756486654282,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.3885418176651,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147274290,"A (Experiences of the police)","Male","5 years but less than 10 years",NA,"Yes","Rent it","Single","45-54","White","Apprenticeship or A/AS level","Rural",3,NA,0.659220397472382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.425589293241501
137152160,"D (Online Security)","Male","3 years but less than 5 years","Yes","Yes","Rent it","Married/Civil Partnered","45-54","White","Degree or diploma","Urban",1,NA,1.19776928424835,"D. Lack of discipline from parents","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137139170,"A (Experiences of the police)","Female","5 years but less than 10 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","45-54","Asian or Asian British","Degree or diploma","Rural",5,NA,0.536473870277405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not very common",0.253548264503479
136094260,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"No","Buying it with the help of a mortgage or loan","Married/Civil Partnered","65-74","White","Other","Urban",4,NA,1.15463805198669,NA,NA,NA,NA,NA,NA,"Very worried","Fairly worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136428060,"B (Attitudes to the CJS)","Male","5 years but less than 10 years",NA,"No","Rent it","Divorced","35-44","White","None","Rural",1,NA,1.23258566856384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136693090,"A (Experiences of the police)","Female","20 years or longer",NA,"No","Rent it","Widowed","65-74","Asian or Asian British","None","Urban",1,NA,2.00818300247192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",-1.00174283981323
137083300,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"No","Own it outright","Single","35-44","White","Degree or diploma","Rural",NA,2,1.36303424835205,NA,NA,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Fairly common",NA
136246280,"D (Online Security)","Female","12 months but less than 2 years","No","Yes","Rent it","Married/Civil Partnered","25-34","White","Degree or diploma","Urban",2,NA,1.5354198217392,"G. Unemployment","Fairly safe","Fairly safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
137095220,"B (Attitudes to the CJS)","Male","5 years but less than 10 years",NA,"Yes","Own it outright","Single","55-64","White","O level/GCSE","Urban",3,NA,0.570608139038086,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Not very common",NA
135494170,"A (Experiences of the police)","Female","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","Degree or diploma","Urban",3,NA,0.545643389225006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",-0.990557968616486
136140180,"B (Attitudes to the CJS)","Male","5 years but less than 10 years",NA,"Yes","Buying it with the help of a mortgage or loan","Cohabiting","35-44","White","Degree or diploma","Urban",5,NA,1.90810644626617,NA,NA,NA,NA,NA,NA,"Not at all worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
147434090,"A (Experiences of the police)","Female","3 years but less than 5 years","Yes","No","Rent it","Cohabiting","25-34","White","O level/GCSE","Urban",2,NA,0.869120121002197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",0.443195402622223
136914160,"D (Online Security)","Male","10 years but less than 20 years",NA,"No","Own it outright","Widowed","75+","White","None","Urban",1,NA,0.661196708679199,"A. Too lenient sentencing",NA,"Fairly safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136714250,"A (Experiences of the police)","Female","5 years but less than 10 years",NA,"Yes","Rent it","Married/Civil Partnered","45-54","White","Degree or diploma","Urban",1,NA,1.13484215736389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Fairly common",0.253635734319687
135536260,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"Yes","Rent it","Single","35-44","White","O level/GCSE","Urban",3,NA,0.24724318087101,NA,NA,NA,NA,NA,NA,"Fairly worried","Fairly worried",NA,NA,NA,NA,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
135349160,"D (Online Security)","Female","5 years but less than 10 years",NA,"Yes","Own it outright","Married/Civil Partnered","35-44","White","Degree or diploma","Rural",3,NA,1.10038614273071,"G. Unemployment","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136117080,"D (Online Security)","Male","20 years or longer",NA,"Yes","Own it outright","Married/Civil Partnered","55-64","White","Degree or diploma","Urban",4,NA,1.0563178062439,"E. Drugs","Fairly safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136428100,"B (Attitudes to the CJS)","Female","20 years or longer","No","Yes","Buying it with the help of a mortgage or loan","Cohabiting","25-34","White","Degree or diploma","Urban",4,NA,1.22578608989716,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
137192030,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Own it outright","Widowed","65-74","White","None","Urban",3,NA,0.430594861507416,NA,NA,NA,NA,"Very worried","Very worried",NA,NA,"Very worried","Very worried","Very worried",2.90235924720764,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137064220,"B (Attitudes to the CJS)","Male","Less than 12 months","No","Yes","Buying it with the help of a mortgage or loan","Cohabiting","25-34","White","O level/GCSE","Rural",3,NA,0.941344141960144,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Not very common",NA
137042060,"B (Attitudes to the CJS)","Female","12 months but less than 2 years","Yes","Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","25-34","Asian or Asian British","Degree or diploma","Urban",1,NA,1.23011529445648,NA,NA,NA,NA,NA,NA,"Fairly worried","Not very worried",NA,NA,NA,NA,"Victim of crime","Fairly common","Fairly common","Fairly common",NA
136396040,"D (Online Security)","Male","5 years but less than 10 years",NA,"No","Rent it","Single","45-54","White","Degree or diploma","Urban",5,NA,0.289526432752609,"H. Breakdown of family","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
137219040,"D (Online Security)","Female","20 years or longer",NA,"Yes","Own it outright","Widowed","45-54","White","O level/GCSE","Urban",NA,3,0.602860510349274,"E. Drugs","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137088030,"C (Crime prevention and security)","Female","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Single","16-24","White","Degree or diploma","Urban",NA,1,0.988860487937927,NA,NA,NA,NA,"Fairly worried","Fairly worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.606875896453857,"Not a victim of crime","Not very common","Not very common","Fairly common",NA
147575140,"B (Attitudes to the CJS)","Male","10 years but less than 20 years",NA,"No","Own it outright","Separate","75+","White","Degree or diploma","Urban",5,NA,0.342488169670105,NA,NA,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136999080,"D (Online Security)","Female","20 years or longer",NA,"No","Rent it","Married/Civil Partnered","55-64","White","None","Urban",2,NA,1.25094759464264,"E. Drugs","A bit unsafe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147576260,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"No","Own it outright","Single","45-54","White","O level/GCSE","Urban",3,NA,0.601601839065552,NA,NA,NA,NA,NA,NA,"Fairly worried","Fairly worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136055070,"C (Crime prevention and security)","Male","10 years but less than 20 years",NA,"No","Rent it","Divorced","55-64","White","None","Urban",3,NA,0.469275563955307,NA,NA,NA,NA,"Very worried","Very worried",NA,NA,"Very worried","Very worried","Not at all worried",2.03863883018494,"Not a victim of crime","Not coded","Not coded","Not coded",NA
136208200,"D (Online Security)","Female","10 years but less than 20 years",NA,"No","Own it outright","Married/Civil Partnered","75+","White","None","Rural",1,NA,0.647284746170044,"E. Drugs","Very unsafe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136586240,"D (Online Security)","Female","5 years but less than 10 years",NA,"Yes","Rent it","Married/Civil Partnered","55-64","White","Apprenticeship or A/AS level","Urban",4,NA,1.07551610469818,"E. Drugs","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136181260,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"No","Own it outright","Widowed","75+","White","None","Rural",4,NA,0.783053159713745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137074150,"C (Crime prevention and security)","Male","5 years but less than 10 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","O level/GCSE","Rural",5,NA,1.17257797718048,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not applicable",NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
147524270,"C (Crime prevention and security)","Female","3 years but less than 5 years","No","Yes","Rent it","Single","16-24","White","Degree or diploma","Urban",2,NA,1.46374928951263,NA,NA,NA,NA,"Fairly worried","Fairly worried",NA,NA,"Fairly worried","Fairly worried","Not very worried",1.18415200710297,"Not a victim of crime","Fairly common","Not at all common","Not very common",NA
136116250,"A (Experiences of the police)","Male","20 years or longer",NA,"Yes","Own it outright","Widowed","65-74","White","Degree or diploma","Rural",4,NA,0.420394033193588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",0.0254821237176657
147449230,"C (Crime prevention and security)","Female","5 years but less than 10 years",NA,"No","Rent it","Divorced","65-74","White","O level/GCSE","Urban",2,NA,0.63619601726532,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not applicable","Not very worried","Not at all worried",NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136903270,"C (Crime prevention and security)","Female","10 years but less than 20 years",NA,"No","Own it outright","Married/Civil Partnered","45-54","White","O level/GCSE","Urban",5,NA,1.18695616722107,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Fairly worried","Not at all worried",0.0630624443292618,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136351100,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"Yes","Rent it","Single","25-34","White","Degree or diploma","Urban",4,NA,0.861610531806946,NA,NA,NA,NA,NA,NA,"Not very worried","Fairly worried",NA,NA,NA,NA,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
136556230,"C (Crime prevention and security)","Female","5 years but less than 10 years",NA,"Yes","Own it outright","Married/Civil Partnered","45-54","Black or Black British","Degree or diploma","Urban",1,NA,1.44187867641449,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Fairly worried",0.0615998804569244,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147428150,"C (Crime prevention and security)","Male","20 years or longer",NA,"No","Own it outright","Widowed","75+","White","O level/GCSE","Urban",4,NA,0.526678323745728,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.13190197944641,"Not a victim of crime","Not at all common","Not at all common","Not very common",NA
147334300,"B (Attitudes to the CJS)","Male","2 years but less than 3 years",NA,"No","Rent it","Single","35-44","White","O level/GCSE","Urban",2,NA,0.486768335103989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
147351180,"B (Attitudes to the CJS)","Female","Less than 12 months","No","No","Buying it with the help of a mortgage or loan","Married/Civil Partnered","25-34","White","Degree or diploma","Urban",5,NA,1.12808191776276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not very common","Not very common","Not very common",NA
136520190,"C (Crime prevention and security)","Female","2 years but less than 3 years",NA,"No","Own it outright","Separate","75+","White","Degree or diploma","Rural",5,NA,0.454921513795853,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not very worried","Not at all worried","Not at all worried",-0.863836526870728,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136354270,"C (Crime prevention and security)","Male","20 years or longer",NA,"Yes","Rent it","Married/Civil Partnered","65-74","White","Degree or diploma","Rural",5,NA,0.677410066127777,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-0.823424398899078,"Not a victim of crime","Fairly common","Not at all common","Not coded",NA
136262320,"D (Online Security)","Female","20 years or longer",NA,"Yes","Own it outright","Married/Civil Partnered","65-74","White","O level/GCSE","Urban",3,NA,0.675421059131622,"D. Lack of discipline from parents","A bit unsafe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147585200,"D (Online Security)","Male","3 years but less than 5 years",NA,"Yes","Rent it","Divorced","35-44","White","Apprenticeship or A/AS level","Urban",2,NA,1.35938262939453,"D. Lack of discipline from parents","Fairly safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not very common","Not very common","Not very common",NA
147609200,"D (Online Security)","Male","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Single","16-24","White","O level/GCSE","Rural",4,NA,1.6400443315506,"F. Alcohol","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not very common","Not very common","Not very common",NA
137108260,"B (Attitudes to the CJS)","Male","10 years but less than 20 years",NA,"No","Rent it","Single","65-74","White","None","Urban",2,NA,0.660227239131927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
137036290,"A (Experiences of the police)","Male","10 years but less than 20 years",NA,"No","Buying it with the help of a mortgage or loan","Married/Civil Partnered","55-64","White","Degree or diploma","Urban",5,NA,0.783586263656616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137023300,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"No","Own it outright","Widowed","75+","White","Degree or diploma","Rural",3,NA,0.614631533622742,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not very common",NA
136106150,"C (Crime prevention and security)","Male","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Single","35-44","White","None","Rural",4,NA,0.948256492614746,NA,NA,NA,NA,"Very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.267131507396698,"Victim of crime","Fairly common","Not very common","Not very common",NA
136264270,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Own it outright","Divorced","55-64","White","None","Rural",NA,2,0.289720773696899,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.0417585112154484,"Not a victim of crime","Not very common","Not very common","Not very common",NA
137170300,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Single","16-24","White","Apprenticeship or A/AS level","Urban",5,NA,2.26478576660156,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136360080,"D (Online Security)","Female","5 years but less than 10 years",NA,"No","Own it outright","Cohabiting","65-74","White","Degree or diploma","Rural",3,NA,1.08171653747559,"D. Lack of discipline from parents","A bit unsafe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
135369060,"B (Attitudes to the CJS)","Female","5 years but less than 10 years",NA,"Yes","Buying it with the help of a mortgage or loan","Single","45-54","White","Apprenticeship or A/AS level","Urban",3,NA,0.543348908424377,NA,NA,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
136435020,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","O level/GCSE","Urban",3,NA,1.03696012496948,NA,NA,NA,NA,NA,NA,"Not at all worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137205240,"D (Online Security)","Female","10 years but less than 20 years","No","Yes","Rent it","Single","25-34","White","O level/GCSE","Urban",2,NA,1.86249554157257,"Spontaneous: None of these","A bit unsafe","Fairly safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Fairly common",NA
147388240,"D (Online Security)","Female","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","45-54","White","O level/GCSE","Urban",3,NA,1.10856604576111,"E. Drugs","A bit unsafe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136124180,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"No","Own it outright","Widowed","75+","White","Apprenticeship or A/AS level","Rural",3,NA,0.257394999265671,NA,NA,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not very common",NA
136223090,"A (Experiences of the police)","Male","3 years but less than 5 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","25-34","White","Degree or diploma","Urban",4,NA,1.35906183719635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-1.21526670455933
137058140,"B (Attitudes to the CJS)","Male","12 months but less than 2 years","Yes","Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","25-34","White","Degree or diploma","Urban",5,NA,0.903601765632629,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
136273260,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"Yes","Own it outright","Married/Civil Partnered","35-44","White","Degree or diploma","Urban",NA,2,1.1313214302063,NA,NA,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
135505180,"B (Attitudes to the CJS)","Male","10 years but less than 20 years",NA,"Yes","Rent it","Divorced","45-54","White","Apprenticeship or A/AS level","Urban",2,NA,1.11269438266754,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Victim of crime","Not very common","Not very common","Not very common",NA
136225110,"C (Crime prevention and security)","Male","10 years but less than 20 years",NA,"Yes","Own it outright","Married/Civil Partnered","25-34","White","None","Urban",3,NA,1.23408782482147,NA,NA,NA,NA,"Fairly worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not very worried",0.03033297508955,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136001090,"A (Experiences of the police)","Female","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Cohabiting","45-54","Black or Black British","Degree or diploma","Urban",2,NA,1.158695936203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not very common","Not at all common","Not at all common",NA
136263330,"A (Experiences of the police)","Male","5 years but less than 10 years",NA,"Yes","Rent it","Single","25-34","White","Degree or diploma","Urban",3,NA,0.371591299772263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not at all common","Not at all common",-0.27126008272171
137150010,"A (Experiences of the police)","Female","20 years or longer","Yes","Yes","Rent it","Cohabiting","25-34","White","Other","Urban",2,NA,0.607484757900238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",1.96434342861176
136415130,"A (Experiences of the police)","Male","12 months but less than 2 years","Yes","Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","25-34","Asian or Asian British","Degree or diploma","Urban",4,NA,3.35411357879639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.528448402881622
136922110,"C (Crime prevention and security)","Female","5 years but less than 10 years","Yes","Yes","Rent it","Separate","45-54","White","Apprenticeship or A/AS level","Urban",5,NA,0.352352142333984,NA,NA,NA,NA,"Fairly worried","Not at all worried",NA,NA,"Not very worried","Not at all worried","Not at all worried",-0.607196629047394,"Victim of crime","Not at all common","Not at all common","Not very common",NA
147343190,"C (Crime prevention and security)","Male","Less than 12 months","No","No","Buying it with the help of a mortgage or loan","Cohabiting","65-74","White","Apprenticeship or A/AS level","Urban",1,NA,1.12974905967712,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.3885418176651,"Not a victim of crime","Fairly common","Not very common","Not very common",NA
136134180,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","45-54","White","Degree or diploma","Urban",NA,5,2.06695795059204,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
147248120,"D (Online Security)","Male","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","55-64","Asian or Asian British","Apprenticeship or A/AS level","Urban",1,NA,1.21611094474792,"E. Drugs","A bit unsafe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Fairly common","Not at all common","Not very common",NA
136276090,"A (Experiences of the police)","Male","20 years or longer","No","Yes","Rent it","Single","45-54","White","O level/GCSE","Urban",2,NA,0.611320555210114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
147497040,"D (Online Security)","Male","20 years or longer","No","Yes","Buying it with the help of a mortgage or loan","Cohabiting","25-34","White","O level/GCSE","Rural",NA,2,0.763173699378967,NA,"Fairly safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147421160,"D (Online Security)","Female","2 years but less than 3 years",NA,"Yes","Rent it","Married/Civil Partnered","25-34","White","Degree or diploma","Urban",5,NA,1.05756211280823,"E. Drugs","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136097130,"A (Experiences of the police)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","Apprenticeship or A/AS level","Urban",4,NA,1.23573017120361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Fairly common","Not at all common","Not at all common",-0.488288074731827
147327080,"D (Online Security)","Male","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Single","55-64","White","Degree or diploma","Urban",5,NA,0.61431884765625,"D. Lack of discipline from parents","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136328290,"A (Experiences of the police)","Female","3 years but less than 5 years",NA,"No","Own it outright","Widowed","75+","White","None","Urban",4,NA,0.634920537471771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",0.146768644452095
136783240,"D (Online Security)","Male","5 years but less than 10 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","Degree or diploma","Urban",4,NA,0.924781680107117,"Spontaneous: None of these","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Fairly common",NA
135624270,"C (Crime prevention and security)","Female","12 months but less than 2 years","Yes","No","Rent it","Divorced","45-54","Black or Black British","O level/GCSE","Urban",2,NA,0.487837493419647,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.0417585112154484,"Not a victim of crime","Not very common","Not very common","Not very common",NA
147397060,"B (Attitudes to the CJS)","Female","2 years but less than 3 years",NA,"Yes","Rent it","Cohabiting","25-34","White","Degree or diploma","Urban",5,NA,1.45553350448608,NA,NA,NA,NA,NA,NA,"Not at all worried","Fairly worried",NA,NA,NA,NA,"Victim of crime","Not very common","Not at all common","Not at all common",NA
136447030,"C (Crime prevention and security)","Male","20 years or longer",NA,"No","Rent it","Widowed","75+","White","None","Urban",1,NA,0.583258926868439,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.3885418176651,"Not a victim of crime","Not very common","Not very common","Not very common",NA
